id,score
as2052,89.05579
as2053,89.33472
as2054,89.7397
as2055,89.42149
as2056,89.66457
as2057,89.42149
as2058,89.33472
as2059,89.76923
as206,89.47253
as2060,89.65739
as2061,89.00826
as2062,89.11504
as2063,89.41423
as2064,89.74304
as2065,89.42029
as2066,89.41909
as2067,88.88224
as2068,89.59016
as2069,90.0
as207,89.21225
as2070,89.31624
as2071,89.19679
as2072,89.5102
as2073,89.66597
as2074,89.60159
as2075,89.45946
as2076,89.19463
as2077,89.12698
as2078,89.18552
as2079,88.94737
as208,89.00621
as2080,88.98148
as2081,89.15789
as2082,89.62049
as2083,89.40678
as2084,89.26437
as2085,89.29134
as2086,89.30769
as2087,89.63883
as2088,89.37255
as2089,89.75855
as209,89.24686
as2090,89.17808
as2091,89.08524
as2092,89.42623
as2093,89.58932
as2094,89.27602
as2095,89.24528
as2096,89.16143
as2097,89.30636
as2098,89.45631
as2099,89.41909
as21,89.46903
as210,89.40299
as2100,89.83087
as2101,89.24686
as2102,89.14712
as2103,89.01701
as2104,89.51417
as2105,89.31034
as2106,89.26097
as2107,89.4499
as2108,89.7541
as2109,89.72093
as211,89.66245
as2110,89.57983
as2111,89.37079
as2112,89.42387
as2113,89.15433
as2114,89.25
as2115,89.23567
as2116,89.30586
as2117,89.58592
as2118,89.21397
as2119,89.5082
as212,89.47598
as2120,89.36255
as2121,89.06582
as2122,89.52381
as2123,89.65665
as2124,89.18033
as2125,89.56332
as2126,88.98734
as2127,89.61464
as2128,89.62175
as2129,89.55947
as213,89.03614
as2130,89.4499
as2131,89.83871
as2132,89.75207
as2133,89.16318
as2134,89.48718
as2135,89.60552
as2136,89.1684
as2137,89.35484
as2138,89.36128
as2139,89.38865
as214,89.06383
as2140,89.51613
as2141,89.40928
as2142,89.35872
as2143,89.58506
as2144,89.58071
as2145,89.25773
as2146,89.73913
as2147,89.65591
as2148,89.64045
as2149,89.413
as215,89.68191
as2150,89.38596
as2151,89.42974
as2152,89.33333
as2153,88.63539
as2154,89.48936
as2155,89.15254
as2156,89.51515
as2157,89.05983
as2158,89.29515
as2159,89.17695
as216,89.35354
as2160,89.33054
as2161,89.13607
as2162,89.36508
as2163,89.65066
as2164,89.22912
as2165,89.75758
as2166,89.58159
as2167,89.20477
as2168,89.46429
as2169,89.45946
as217,89.23241
as2170,89.67413
as2171,89.22581
as2172,89.24843
as2173,89.23404
as2174,89.06977
as2175,89.65665
as2176,89.75104
as2177,89.03509
as2178,89.44444
as2179,89.04573
as218,89.53757
as2180,89.35035
as2181,89.35223
as2182,89.59184
as2183,89.51417
as2184,89.65517
as2185,89.50413
as2186,89.5122
as2187,89.07368
as2188,89.56989
as2189,89.57447
as219,89.30131
as2190,89.48718
as2191,89.28287
as2192,89.53216
as2193,89.59184
as2194,89.43662
as2195,89.33884
as2196,89.60552
as2197,89.66805
as2198,89.38053
as2199,89.48164
as22,89.4533
as220,89.64365
as2200,89.27107
as2201,89.43888
as2202,89.07173
as2203,89.25926
as2204,89.41788
as2205,89.56897
as2206,89.82183
as2207,89.62121
as2208,89.48276
as2209,89.44444
as221,89.65812
as2210,89.55257
as2211,88.90756
as2212,89.52941
as2213,89.60861
as2214,89.40928
as2215,89.49791
as2216,89.6603
as2217,89.27273
as2218,89.0495
as2219,89.39655
as222,89.39962
as2220,89.32773
as2221,89.57717
as2222,89.25466
as2223,89.6468
as2224,89.16493
as2225,89.24528
as2226,89.22481
as2227,89.06433
as2228,89.03846
as2229,89.66245
as223,89.57265
as2230,89.40928
as2231,89.48827
as2232,89.24686
as2233,89.66667
as2234,89.36255
as2235,89.44882
as2236,89.31034
as2237,89.27565
as2238,89.0795
as2239,89.31478
as224,89.43205
as2240,89.3177
as2241,89.28251
as2242,89.4926
as2243,89.74304
as2244,89.37778
as2245,89.36128
as2246,89.26978
as2247,89.47939
as2248,89.21909
as2249,89.5935
as225,89.36795
as2250,89.32203
as2251,89.14563
as2252,89.06383
as2253,89.2638
as2254,89.43775
as2255,89.64126
as2256,89.05138
as2257,89.65293
as2258,89.65293
as2259,89.64835
as226,89.3456
as2260,89.67546
as2261,89.23567
as2262,89.43205
as2263,89.0372
as2264,89.33054
as2265,89.58932
as2266,89.57627
as2267,89.63218
as2268,89.35354
as2269,89.3361
as227,89.36795
as2270,89.46768
as2271,89.35035
as2272,89.05983
as2273,89.17355
as2274,89.65517
as2275,89.66667
as2276,89.26078
as2277,89.6701
as2278,89.61089
as2279,88.89109
as228,89.40928
as2280,89.38462
as2281,89.65217
as2282,89.52941
as2283,89.53488
as2284,88.81104
as2285,89.18367
as2286,89.20705
as2287,89.22581
as2288,89.56897
as2289,89.65443
as229,89.47939
as2290,88.78788
as2291,89.36219
as2292,89.26978
as2293,89.66387
as2294,89.39914
as2295,89.38731
as2296,89.03084
as2297,89.91361
as2298,89.58159
as2299,89.26978
as23,89.64989
as230,89.07757
as2300,89.413
as2301,89.7561
as2302,89.49367
as2303,89.55752
as2304,89.30502
as2305,89.33472
as2306,89.21225
as2307,89.16143
as2308,89.83437
as2309,89.44334
as231,89.03084
as2310,89.67546
as2311,89.2955
as2312,89.57537
as2313,89.32347
as2314,89.33054
as2315,89.67413
as2316,89.04
as2317,89.45098
as2318,89.22912
as2319,89.53704
as232,89.46463
as2320,89.55157
as2321,89.32203
as2322,89.38731
as2323,89.591
as2324,89.45824
as2325,89.83871
as2326,89.6748
as2327,89.50617
as2328,89.39914
as2329,89.12525
as233,89.91435
as2330,89.67347
as2331,89.91525
as2332,89.07757
as2333,89.74895
as2334,89.91525
as2335,89.49474
as2336,89.25
as2337,89.25581
as2338,89.42268
as2339,89.51807
as234,89.65957
as2340,89.32773
as2341,89.41667
as2342,89.41176
as2343,89.32203
as2344,89.24211
as2345,89.4958
as2346,89.47664
as2347,89.50207
as2348,89.48936
as2349,89.3456
as235,89.40678
as2350,89.47368
as2351,89.31183
as2352,89.3177
as2353,88.75831
as2354,89.42268
as2355,89.6
as2356,89.42268
as2357,89.3819
as2358,89.50104
as2359,89.4508
as236,89.52096
as2360,89.74414
as2361,89.73154
as2362,89.52096
as2363,89.21909
as2364,89.12176
as2365,89.01124
as2366,89.27565
as2367,89.13232
as2368,89.54853
as2369,89.40803
as237,89.32347
as2370,89.22246
as2371,89.49367
as2372,89.64444
as2373,89.43888
as2374,89.55357
as2375,89.2638
as2376,89.57447
as2377,89.34426
as2378,89.56989
as2379,89.59839
as238,89.43434
as2380,89.24528
as2381,89.56236
as2382,89.4274
as2383,89.38462
as2384,89.15612
as2385,89.75258
as2386,89.45205
as2387,89.1984
as2388,89.82833
as2389,89.32347
as239,89.23567
as2390,89.2126
as2391,89.39655
as2392,89.03226
as2393,89.53398
as2394,89.5171
as2395,89.37916
as2396,89.46548
as2397,89.3361
as2398,89.3456
as2399,89.56332
as24,89.45631
as240,89.33333
as2400,89.29204
as2401,89.92203
as2402,89.59596
as2403,89.50104
as2404,89.3177
as2405,89.82222
as2406,89.45205
as2407,89.8419
as2408,89.14063
as2409,89.23241
as241,89.46903
as2410,89.84615
as2411,89.45313
as2412,89.31915
as2413,89.38998
as2414,89.58159
